,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Community Area,Year
162342,12681455,JF220785,03/28/2022 08:00:00 PM,019XX W TOUHY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,24,Rogers Park,2022
162349,12770877,JF329485,07/24/2022 05:04:00 AM,091XX S ABERDEEN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,22,Washington Heights,2022
162355,12754697,JF309792,07/08/2022 01:15:00 AM,040XX S ROCKWELL ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,9,Brighton Park,2022
162357,12712191,JF258279,05/22/2022 03:00:00 AM,018XX S CLARK ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1,Near South Side,2022
162376,12705516,JF249836,05/14/2022 12:00:00 AM,009XX W HARRISON ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,12,Near West Side,2022
162388,12689341,JF230428,05/04/2022 02:40:00 PM,064XX S GREENWOOD AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,3,Woodlawn,2022
162411,12745532,JF298688,06/29/2022 01:20:00 PM,034XX N OZARK AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,16,Dunning,2022
162423,12632820,JF162531,03/01/2022 05:12:00 PM,099XX S LA SALLE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,5,Roseland,2022
162479,12639259,JF170258,01/03/2022 08:00:00 AM,005XX W 81ST ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,6,Chatham,2022
162490,12665547,JF201735,04/08/2022 02:00:00 AM,061XX S NARRAGANSETT AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,8,Clearing,2022
162491,12737200,JF288610,06/20/2022 08:06:00 AM,095XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,5,Roseland,2022
162497,12833643,JF403832,09/20/2022 03:40:00 PM,082XX S EXCHANGE AVE,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,False,False,4,South Chicago,2022
162499,12691441,JF232976,05/06/2022 11:25:00 PM,047XX N SPAULDING AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,17,Albany Park,2022
162502,12685275,JF225148,04/29/2022 10:18:00 PM,001XX N LECLAIRE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,15,Austin,2022
162537,12654245,JF188091,03/26/2022 04:30:00 PM,066XX S GREENWOOD AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,3,Woodlawn,2022
162594,12689017,JF229891,05/04/2022 01:04:00 PM,0000X N PINE AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,15,Austin,2022
162626,12776814,JF336327,07/29/2022 02:51:00 PM,049XX S TRIPP AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,8,Archer Heights,2022
162644,12819200,JF380148,09/01/2022 08:20:00 PM,091XX S BISHOP ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,22,Washington Heights,2022
162657,12775715,JF335068,07/28/2022 12:00:00 AM,078XX S MAY ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,6,Auburn Gresham,2022
162662,12747530,JF300953,06/29/2022 12:56:00 AM,033XX W 84TH PL,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,8,Ashburn,2022
162698,12717601,JF264769,06/02/2022 11:04:00 AM,011XX W ADDISON ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,19,Lake View,2022
162708,12788566,JF349988,08/09/2022 08:56:00 AM,003XX W 109TH PL,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,5,Roseland,2022
162753,12632115,JF160722,03/02/2022 06:00:00 AM,014XX N WESTERN AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,HOSPITAL BUILDING / GROUNDS,False,True,14,West Town,2022
162770,12686047,JF226244,05/01/2022 08:39:00 AM,053XX W CRYSTAL ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,False,False,25,Austin,2022
162771,12730435,JF280396,06/14/2022 10:00:00 AM,053XX W BARRY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,25,Belmont Cragin,2022
162785,12744620,JF297331,06/28/2022 12:29:00 PM,084XX S BENNETT AVE,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,STREET,True,False,4,Avalon Park,2022
162826,12638649,JF169557,03/09/2022 05:45:00 PM,062XX S SACRAMENTO AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,8,Chicago Lawn,2022
162831,12677617,JF216218,04/22/2022 02:55:00 PM,0000X W WACKER DR,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,False,False,1,Loop,2022
162840,12714931,JF261465,05/30/2022 07:50:00 PM,044XX W MONTROSE AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,17,Irving Park,2022
162842,12796087,JF359231,08/16/2022 09:41:00 AM,049XX S HONORE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,9,New City,2022
162864,12744989,JF297952,06/25/2022 11:30:00 AM,042XX S LANGLEY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2,Grand Boulevard,2022
162874,12704472,JF248950,05/20/2022 06:26:00 AM,019XX S HARDING AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,10,North Lawndale,2022
162917,12739566,JF291478,06/23/2022 06:27:00 PM,0000X E 95TH ST,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,5,Roseland,2022
162936,12765500,JF322941,07/18/2022 05:00:00 PM,047XX W MAYPOLE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,11,Austin,2022
162940,12696320,JF239000,05/11/2022 02:30:00 PM,073XX S EVANS AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SCHOOL - PUBLIC BUILDING,False,False,3,Greater Grand Crossing,2022
162974,12820610,JF388049,09/07/2022 12:00:00 AM,043XX W NORTH AVE,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,False,True,25,Humboldt Park,2022
162988,12697825,JF239985,05/12/2022 08:20:00 PM,026XX W WASHINGTON BLVD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,12,East Garfield Park,2022
162990,12711697,JF257598,05/27/2022 12:13:00 PM,057XX W DIVISION ST,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,False,False,15,Austin,2022
163002,12711512,JF257397,05/13/2022 12:00:00 AM,105XX S HOYNE AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,22,Beverly,2022
163009,12700975,JF245113,04/06/2022 10:00:00 PM,028XX W PALMER ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,14,Logan Square,2022
163020,12675445,JF213459,04/20/2022 09:03:00 AM,017XX W 75TH PL,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESIDENCE,False,True,6,Auburn Gresham,2022
163055,12822473,JF390239,09/09/2022 12:00:00 AM,005XX E 31ST ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,2,Douglas,2022
163104,12803998,JF368488,07/30/2022 09:15:00 PM,094XX S EWING AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,4,East Side,2022
163105,12831155,JF400894,09/18/2022 01:22:00 PM,013XX S AVERS AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,10,North Lawndale,2022
163107,12714894,JF261505,05/30/2022 08:16:00 PM,111XX S LANGLEY AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,False,5,Pullman,2022
163115,12649965,JF182276,02/11/2022 11:36:00 PM,001XX S JEFFERSON ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1,Near West Side,2022
163127,12759603,JF315787,07/01/2022 08:22:00 PM,053XX S CORNELL AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,2,Hyde Park,2022
163149,12734204,JF285004,06/18/2022 05:06:00 PM,059XX W WRIGHTWOOD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,True,25,Belmont Cragin,2022
163165,12769342,JF327519,07/12/2022 10:00:00 AM,038XX N FREMONT ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,19,Lake View,2022
